Function: NpClose, Syscall ID: 0xf
Function: NtUnmapViewOfSection, Syscall ID: 0x2a
Function: ZwReplyWaitReceivePortEx, Syscall ID: 0x2b
Function: ZwTerminateProcess, Syscall ID: 0x2c
Function: ZwSetEventBoostPriority, Syscall ID: 0x2d
Function: ZwReadFileScatter, Syscall ID: 0x2e
Function: NtOpenThreadTokenEx, Syscall ID: 0x2f
Function: NtOpenProcessTokenEx, Syscall ID: 0x30
Function: NtQueryPerformanceCounter, Syscall ID: 0x31
Function: NtEnumerateKey, Syscall ID: 0x32
Function: NtOpenFile, Syscall ID: 0x33
Function: ZwDelayExecution, Syscall ID: 0x34
Function: NtQueryDirectoryFile, Syscall ID: 0x35
Function: NtQuerySystemInformation, Syscall ID: 0x36
Function: NtOpenSection, Syscall ID: 0x37
Function: ZwQueryTimer, Syscall ID: 0x38
Function: ZwFsControlFile, Syscall ID: 0x39
Function: NtWriteVirtualMemory, Syscall ID: 0x3a
Function: ZwCloseObjectAuditAlarm, Syscall ID: 0x3b
Function: ZwDuplicateObject, Syscall ID: 0x3c
Function: ZwQueryAttributesFile, Syscall ID: 0x3d
Function: NtClearEvent, Syscall ID: 0x3e
Function: ZwReadVirtualMemory, Syscall ID: 0x3f
Function: NtOpenEvent, Syscall ID: 0x40
Function: NtAdjustPrivilegesToken, Syscall ID: 0x41
Function: NtDuplicateToken, Syscall ID: 0x42
Function: ZwContinue, Syscall ID: 0x43
Function: ZwQueryDefaultUILanguage, Syscall ID: 0x44
Function: NtQueueApcThread, Syscall ID: 0x45
Function: ZwYieldExecution, Syscall ID: 0x46
Function: ZwAddAtom, Syscall ID: 0x47
Function: ZwCreateEvent, Syscall ID: 0x48
Function: ZwQueryVolumeInformationFile, Syscall ID: 0x49
Function: NtCreateSection, Syscall ID: 0x4a
Function: ZwFlushBuffersFile, Syscall ID: 0x4b
Function: NtApphelpCacheControl, Syscall ID: 0x4c
Function: ZwCreateProcessEx, Syscall ID: 0x4d
Function: NtCreateThread, Syscall ID: 0x4e
Function: NtIsProcessInJob, Syscall ID: 0x4f
Function: ZwProtectVirtualMemory, Syscall ID: 0x50
Function: NtQuerySection, Syscall ID: 0x51
Function: ZwResumeThread, Syscall ID: 0x52
Function: NtTerminateThread, Syscall ID: 0x53
Function: NtReadRequestData, Syscall ID: 0x54
Function: ZwCreateFile, Syscall ID: 0x55
Function: NtQueryEvent, Syscall ID: 0x56
Function: ZwWriteRequestData, Syscall ID: 0x57
Function: ZwOpenDirectoryObject, Syscall ID: 0x58
Function: ZwAccessCheckByTypeAndAuditAlarm, Syscall ID: 0x59
Function: NtWaitForMultipleObjects, Syscall ID: 0x5b
Function: NtSetInformationObject, Syscall ID: 0x5c
Function: ZwCancelIoFile, Syscall ID: 0x5d
Function: NtTraceEvent, Syscall ID: 0x5e
Function: NtPowerInformation, Syscall ID: 0x5f
Function: ZwSetValueKey, Syscall ID: 0x60
Function: NtCancelTimer, Syscall ID: 0x61
Function: ZwSetTimer, Syscall ID: 0x62
Function: ZwAccessCheckByType, Syscall ID: 0x63
Function: ZwAccessCheckByTypeResultList, Syscall ID: 0x64
Function: ZwAccessCheckByTypeResultListAndAuditAlarm, Syscall ID: 0x65
Function: ZwAccessCheckByTypeResultListAndAuditAlarmByHandle, Syscall ID: 0x66
Function: ZwAcquireCrossVmMutant, Syscall ID: 0x67
Function: ZwAcquireProcessActivityReference, Syscall ID: 0x68
Function: ZwAddAtomEx, Syscall ID: 0x69
Function: ZwAddBootEntry, Syscall ID: 0x6a
Function: NtAddDriverEntry, Syscall ID: 0x6b
Function: NtAdjustGroupsToken, Syscall ID: 0x6c
Function: ZwAdjustTokenClaimsAndDeviceGroups, Syscall ID: 0x6d
Function: NtAlertMultipleThreadByThreadId, Syscall ID: 0x6e
Function: ZwAlertResumeThread, Syscall ID: 0x6f
Function: NtAlertThread, Syscall ID: 0x70
Function: ZwAlertThreadByThreadId, Syscall ID: 0x71
Function: ZwAlertThreadByThreadIdEx, Syscall ID: 0x72
Function: ZwAllocateLocallyUniqueId, Syscall ID: 0x73
Function: NtAllocateReserveObject, Syscall ID: 0x74
Function: ZwAllocateUserPhysicalPages, Syscall ID: 0x75
Function: NtAllocateUserPhysicalPagesEx, Syscall ID: 0x76
Function: ZwAllocateUuids, Syscall ID: 0x77
Function: NtAllocateVirtualMemoryEx, Syscall ID: 0x78
Function: ZwAlpcAcceptConnectPort, Syscall ID: 0x79
Function: NtAlpcCancelMessage, Syscall ID: 0x7a
Function: NtAlpcConnectPort, Syscall ID: 0x7b
Function: NtAlpcConnectPortEx, Syscall ID: 0x7c
Function: NtAlpcCreatePort, Syscall ID: 0x7d
Function: ZwAlpcCreatePortSection, Syscall ID: 0x7e
Function: ZwAlpcCreateResourceReserve, Syscall ID: 0x7f
Function: NtAlpcCreateSectionView, Syscall ID: 0x80
Function: NtAlpcCreateSecurityContext, Syscall ID: 0x81
Function: NtAlpcDeletePortSection, Syscall ID: 0x82
Function: NtAlpcDeleteResourceReserve, Syscall ID: 0x83
Function: ZwAlpcDeleteSectionView, Syscall ID: 0x84
Function: ZwAlpcDeleteSecurityContext, Syscall ID: 0x85
Function: NtAlpcDisconnectPort, Syscall ID: 0x86
Function: NtAlpcImpersonateClientContainerOfPort, Syscall ID: 0x87
Function: NtAlpcImpersonateClientOfPort, Syscall ID: 0x88
Function: NtAlpcOpenSenderProcess, Syscall ID: 0x89
Function: NtAlpcOpenSenderThread, Syscall ID: 0x8a
Function: ZwAlpcQueryInformation, Syscall ID: 0x8b
Function: ZwAlpcQueryInformationMessage, Syscall ID: 0x8c
Function: NtAlpcRevokeSecurityContext, Syscall ID: 0x8d
Function: ZwAlpcSendWaitReceivePort, Syscall ID: 0x8e
Function: NtAlpcSetInformation, Syscall ID: 0x8f
Function: ZwAreMappedFilesTheSame, Syscall ID: 0x90
Function: NtAssignProcessToJobObject, Syscall ID: 0x91
Function: ZwAssociateWaitCompletionPacket, Syscall ID: 0x92
Function: ZwCallEnclave, Syscall ID: 0x93
Function: ZwCancelIoFileEx, Syscall ID: 0x94
Function: ZwCancelSynchronousIoFile, Syscall ID: 0x95
Function: ZwCancelTimer2, Syscall ID: 0x96
Function: ZwCancelWaitCompletionPacket, Syscall ID: 0x97
Function: NtChangeProcessState, Syscall ID: 0x98
Function: NtChangeThreadState, Syscall ID: 0x99
Function: NtCommitComplete, Syscall ID: 0x9a
Function: ZwCommitEnlistment, Syscall ID: 0x9b
Function: NtCommitRegistryTransaction, Syscall ID: 0x9c
Function: ZwCommitTransaction, Syscall ID: 0x9d
Function: NtCompactKeys, Syscall ID: 0x9e
Function: NtCompareObjects, Syscall ID: 0x9f
Function: NtCompareSigningLevels, Syscall ID: 0xa0
Function: ZwCompareTokens, Syscall ID: 0xa1
Function: NtCompleteConnectPort, Syscall ID: 0xa2
Function: NtCompressKey, Syscall ID: 0xa3
Function: ZwConnectPort, Syscall ID: 0xa4
Function: ZwContinueEx, Syscall ID: 0xa5
Function: ZwConvertBetweenAuxiliaryCounterAndPerformanceCounter, Syscall ID: 0xa6
Function: ZwCopyFileChunk, Syscall ID: 0xa7
Function: ZwCreateCpuPartition, Syscall ID: 0xa8
Function: NtCreateCrossVmEvent, Syscall ID: 0xa9
Function: ZwCreateCrossVmMutant, Syscall ID: 0xaa
Function: NtCreateDebugObject, Syscall ID: 0xab
Function: NtCreateDirectoryObject, Syscall ID: 0xac
Function: ZwCreateDirectoryObjectEx, Syscall ID: 0xad
Function: ZwCreateEnclave, Syscall ID: 0xae
Function: NtCreateEnlistment, Syscall ID: 0xaf
Function: ZwCreateEventPair, Syscall ID: 0xb0
Function: ZwCreateIRTimer, Syscall ID: 0xb1
Function: NtCreateIoCompletion, Syscall ID: 0xb2
Function: NtCreateIoRing, Syscall ID: 0xb3
Function: ZwCreateJobObject, Syscall ID: 0xb4
Function: ZwCreateJobSet, Syscall ID: 0xb5
Function: ZwCreateKeyTransacted, Syscall ID: 0xb6
Function: ZwCreateKeyedEvent, Syscall ID: 0xb7
Function: NtCreateLowBoxToken, Syscall ID: 0xb8
Function: ZwCreateMailslotFile, Syscall ID: 0xb9
Function: NtCreateMutant, Syscall ID: 0xba
Function: NtCreateNamedPipeFile, Syscall ID: 0xbb
Function: NtCreatePagingFile, Syscall ID: 0xbc
Function: ZwCreatePartition, Syscall ID: 0xbd
Function: ZwCreatePort, Syscall ID: 0xbe
Function: ZwCreatePrivateNamespace, Syscall ID: 0xbf
Function: NtCreateProcess, Syscall ID: 0xc0
Function: NtCreateProcessStateChange, Syscall ID: 0xc1
Function: ZwCreateProfile, Syscall ID: 0xc2
Function: ZwCreateProfileEx, Syscall ID: 0xc3
Function: ZwCreateRegistryTransaction, Syscall ID: 0xc4
Function: NtCreateResourceManager, Syscall ID: 0xc5
Function: NtCreateSectionEx, Syscall ID: 0xc6
Function: NtCreateSemaphore, Syscall ID: 0xc7
Function: ZwCreateSymbolicLinkObject, Syscall ID: 0xc8
Function: NtCreateThreadEx, Syscall ID: 0xc9
Function: ZwCreateThreadStateChange, Syscall ID: 0xca
Function: ZwCreateTimer, Syscall ID: 0xcb
Function: NtCreateTimer2, Syscall ID: 0xcc
Function: NtCreateToken, Syscall ID: 0xcd
Function: NtCreateTokenEx, Syscall ID: 0xce
Function: NtCreateTransaction, Syscall ID: 0xcf
Function: ZwCreateTransactionManager, Syscall ID: 0xd0
Function: NtCreateUserProcess, Syscall ID: 0xd1
Function: NtCreateWaitCompletionPacket, Syscall ID: 0xd2
Function: NtCreateWaitablePort, Syscall ID: 0xd3
Function: NtCreateWnfStateName, Syscall ID: 0xd4
Function: NtCreateWorkerFactory, Syscall ID: 0xd5
Function: NtDebugActiveProcess, Syscall ID: 0xd6
Function: NtDebugContinue, Syscall ID: 0xd7
Function: NtDeleteAtom, Syscall ID: 0xd8
Function: NtDeleteBootEntry, Syscall ID: 0xd9
Function: ZwDeleteDriverEntry, Syscall ID: 0xda
Function: NtDeleteFile, Syscall ID: 0xdb
Function: NtDeleteKey, Syscall ID: 0xdc
Function: ZwDeleteObjectAuditAlarm, Syscall ID: 0xdd
Function: NtDeletePrivateNamespace, Syscall ID: 0xde
Function: ZwDeleteValueKey, Syscall ID: 0xdf
Function: NtDeleteWnfStateData, Syscall ID: 0xe0
Function: ZwDeleteWnfStateName, Syscall ID: 0xe1
Function: ZwDirectGraphicsCall, Syscall ID: 0xe2
Function: NtDisableLastKnownGood, Syscall ID: 0xe3
Function: ZwDisplayString, Syscall ID: 0xe4
Function: NtDrawText, Syscall ID: 0xe5
Function: NtEnableLastKnownGood, Syscall ID: 0xe6
Function: NtEnumerateBootEntries, Syscall ID: 0xe7
Function: ZwEnumerateDriverEntries, Syscall ID: 0xe8
Function: NtEnumerateSystemEnvironmentValuesEx, Syscall ID: 0xe9
Function: NtEnumerateTransactionObject, Syscall ID: 0xea
Function: NtExtendSection, Syscall ID: 0xeb
Function: ZwFilterBootOption, Syscall ID: 0xec
Function: ZwFilterToken, Syscall ID: 0xed
Function: ZwFilterTokenEx, Syscall ID: 0xee
Function: ZwFlushBuffersFileEx, Syscall ID: 0xef
Function: NtFlushInstallUILanguage, Syscall ID: 0xf0
Function: NtFlushInstructionCache, Syscall ID: 0xf1
Function: ZwFlushKey, Syscall ID: 0xf2
Function: ZwFlushProcessWriteBuffers, Syscall ID: 0xf3
Function: ZwFlushVirtualMemory, Syscall ID: 0xf4
Function: NtFlushWriteBuffer, Syscall ID: 0xf5
Function: ZwFreeUserPhysicalPages, Syscall ID: 0xf6
Function: NtFreezeRegistry, Syscall ID: 0xf7
Function: ZwFreezeTransactions, Syscall ID: 0xf8
Function: NtGetCachedSigningLevel, Syscall ID: 0xf9
Function: NtGetCompleteWnfStateSubscription, Syscall ID: 0xfa
Function: ZwGetContextThread, Syscall ID: 0xfb
Function: ZwGetCurrentProcessorNumber, Syscall ID: 0xfc
Function: NtGetCurrentProcessorNumberEx, Syscall ID: 0xfd
Function: ZwGetDevicePowerState, Syscall ID: 0xfe
Function: ZwGetMUIRegistryInfo, Syscall ID: 0xff
Function: NtGetNextProcess, Syscall ID: 0x100
Function: ZwGetNextThread, Syscall ID: 0x101
Function: ZwGetNlsSectionPtr, Syscall ID: 0x102
Function: NtGetNotificationResourceManager, Syscall ID: 0x103
Function: ZwGetWriteWatch, Syscall ID: 0x104
Function: ZwImpersonateAnonymousToken, Syscall ID: 0x105
Function: ZwImpersonateThread, Syscall ID: 0x106
Function: ZwInitializeEnclave, Syscall ID: 0x107
Function: NtInitializeNlsFiles, Syscall ID: 0x108
Function: NtInitializeRegistry, Syscall ID: 0x109
Function: NtInitiatePowerAction, Syscall ID: 0x10a
Function: ZwIsSystemResumeAutomatic, Syscall ID: 0x10b
Function: NtIsUILanguageComitted, Syscall ID: 0x10c
Function: NtListenPort, Syscall ID: 0x10d
Function: ZwLoadDriver, Syscall ID: 0x10e
Function: NtLoadEnclaveData, Syscall ID: 0x10f
Function: NtLoadKey, Syscall ID: 0x110
Function: ZwLoadKey2, Syscall ID: 0x111
Function: ZwLoadKey3, Syscall ID: 0x112
Function: NtLoadKeyEx, Syscall ID: 0x113
Function: ZwLockFile, Syscall ID: 0x114
Function: NtLockProductActivationKeys, Syscall ID: 0x115
Function: ZwLockRegistryKey, Syscall ID: 0x116
Function: NtLockVirtualMemory, Syscall ID: 0x117
Function: NtMakePermanentObject, Syscall ID: 0x118
Function: NtMakeTemporaryObject, Syscall ID: 0x119
Function: ZwManageHotPatch, Syscall ID: 0x11a
Function: ZwManagePartition, Syscall ID: 0x11b
Function: NtMapCMFModule, Syscall ID: 0x11c
Function: NtMapUserPhysicalPages, Syscall ID: 0x11d
Function: ZwMapViewOfSectionEx, Syscall ID: 0x11e
Function: NtModifyBootEntry, Syscall ID: 0x11f
Function: ZwModifyDriverEntry, Syscall ID: 0x120
Function: NtNotifyChangeDirectoryFile, Syscall ID: 0x121
Function: NtNotifyChangeDirectoryFileEx, Syscall ID: 0x122
Function: ZwNotifyChangeKey, Syscall ID: 0x123
Function: NtNotifyChangeMultipleKeys, Syscall ID: 0x124
Function: NtNotifyChangeSession, Syscall ID: 0x125
Function: ZwOpenCpuPartition, Syscall ID: 0x126
Function: NtOpenEnlistment, Syscall ID: 0x127
Function: ZwOpenEventPair, Syscall ID: 0x128
Function: NtOpenIoCompletion, Syscall ID: 0x129
Function: NtOpenJobObject, Syscall ID: 0x12a
Function: NtOpenKeyEx, Syscall ID: 0x12b
Function: ZwOpenKeyTransacted, Syscall ID: 0x12c
Function: ZwOpenKeyTransactedEx, Syscall ID: 0x12d
Function: NtOpenKeyedEvent, Syscall ID: 0x12e
Function: NtOpenMutant, Syscall ID: 0x12f
Function: ZwOpenObjectAuditAlarm, Syscall ID: 0x130
Function: NtOpenPartition, Syscall ID: 0x131
Function: NtOpenPrivateNamespace, Syscall ID: 0x132
Function: NtOpenProcessToken, Syscall ID: 0x133
Function: ZwOpenRegistryTransaction, Syscall ID: 0x134
Function: NtOpenResourceManager, Syscall ID: 0x135
Function: ZwOpenSemaphore, Syscall ID: 0x136
Function: ZwOpenSession, Syscall ID: 0x137
Function: ZwOpenSymbolicLinkObject, Syscall ID: 0x138
Function: ZwOpenThread, Syscall ID: 0x139
Function: ZwOpenTimer, Syscall ID: 0x13a
Function: ZwOpenTransaction, Syscall ID: 0x13b
Function: NtOpenTransactionManager, Syscall ID: 0x13c
Function: ZwPlugPlayControl, Syscall ID: 0x13d
Function: ZwPrePrepareComplete, Syscall ID: 0x13e
Function: NtPrePrepareEnlistment, Syscall ID: 0x13f
Function: ZwPrepareComplete, Syscall ID: 0x140
Function: ZwPrepareEnlistment, Syscall ID: 0x141
Function: ZwPrivilegeCheck, Syscall ID: 0x142
Function: NtPrivilegeObjectAuditAlarm, Syscall ID: 0x143
Function: ZwPrivilegedServiceAuditAlarm, Syscall ID: 0x144
Function: NtPropagationComplete, Syscall ID: 0x145
Function: NtPropagationFailed, Syscall ID: 0x146
Function: NtPssCaptureVaSpaceBulk, Syscall ID: 0x147
Function: ZwPulseEvent, Syscall ID: 0x148
Function: NtQueryAuxiliaryCounterFrequency, Syscall ID: 0x149
Function: ZwQueryBootEntryOrder, Syscall ID: 0x14a
Function: NtQueryBootOptions, Syscall ID: 0x14b
Function: ZwQueryDebugFilterState, Syscall ID: 0x14c
Function: NtQueryDirectoryFileEx, Syscall ID: 0x14d
Function: ZwQueryDirectoryObject, Syscall ID: 0x14e
Function: NtQueryDriverEntryOrder, Syscall ID: 0x14f
Function: ZwQueryEaFile, Syscall ID: 0x150
Function: NtQueryFullAttributesFile, Syscall ID: 0x151
Function: NtQueryInformationAtom, Syscall ID: 0x152
Function: NtQueryInformationByName, Syscall ID: 0x153
Function: ZwQueryInformationCpuPartition, Syscall ID: 0x154
Function: NtQueryInformationEnlistment, Syscall ID: 0x155
Function: NtQueryInformationJobObject, Syscall ID: 0x156
Function: NtQueryInformationPort, Syscall ID: 0x157
Function: NtQueryInformationResourceManager, Syscall ID: 0x158
Function: ZwQueryInformationTransaction, Syscall ID: 0x159
Function: NtQueryInformationTransactionManager, Syscall ID: 0x15a
Function: ZwQueryInformationWorkerFactory, Syscall ID: 0x15b
Function: NtQueryInstallUILanguage, Syscall ID: 0x15c
Function: NtQueryIntervalProfile, Syscall ID: 0x15d
Function: NtQueryIoCompletion, Syscall ID: 0x15e
Function: NtQueryIoRingCapabilities, Syscall ID: 0x15f
Function: ZwQueryLicenseValue, Syscall ID: 0x160
Function: ZwQueryMultipleValueKey, Syscall ID: 0x161
Function: ZwQueryMutant, Syscall ID: 0x162
Function: NtQueryOpenSubKeys, Syscall ID: 0x163
Function: NtQueryOpenSubKeysEx, Syscall ID: 0x164
Function: NtQueryPortInformationProcess, Syscall ID: 0x165
Function: NtQueryQuotaInformationFile, Syscall ID: 0x166
Function: ZwQuerySecurityAttributesToken, Syscall ID: 0x167
Function: NtQuerySecurityObject, Syscall ID: 0x168
Function: NtQuerySecurityPolicy, Syscall ID: 0x169
Function: ZwQuerySemaphore, Syscall ID: 0x16a
Function: NtQuerySymbolicLinkObject, Syscall ID: 0x16b
Function: NtQuerySystemEnvironmentValue, Syscall ID: 0x16c
Function: NtQuerySystemEnvironmentValueEx, Syscall ID: 0x16d
Function: NtQuerySystemInformationEx, Syscall ID: 0x16e
Function: ZwQueryTimerResolution, Syscall ID: 0x16f
Function: ZwQueryWnfStateData, Syscall ID: 0x170
Function: NtQueryWnfStateNameInformation, Syscall ID: 0x171
Function: NtQueueApcThreadEx, Syscall ID: 0x172
Function: NtQueueApcThreadEx2, Syscall ID: 0x173
Function: ZwRaiseException, Syscall ID: 0x174
Function: NtRaiseHardError, Syscall ID: 0x175
Function: ZwReadOnlyEnlistment, Syscall ID: 0x176
Function: NtReadVirtualMemoryEx, Syscall ID: 0x177
Function: ZwRecoverEnlistment, Syscall ID: 0x178
Function: ZwRecoverResourceManager, Syscall ID: 0x179
Function: NtRecoverTransactionManager, Syscall ID: 0x17a
Function: NtRegisterProtocolAddressInformation, Syscall ID: 0x17b
Function: NtRegisterThreadTerminatePort, Syscall ID: 0x17c
Function: NtReleaseKeyedEvent, Syscall ID: 0x17d
Function: NtReleaseWorkerFactoryWorker, Syscall ID: 0x17e
Function: ZwRemoveIoCompletionEx, Syscall ID: 0x17f
Function: ZwRemoveProcessDebug, Syscall ID: 0x180
Function: NtRenameKey, Syscall ID: 0x181
Function: NtRenameTransactionManager, Syscall ID: 0x182
Function: NtReplaceKey, Syscall ID: 0x183
Function: NtReplacePartitionUnit, Syscall ID: 0x184
Function: NtReplyWaitReplyPort, Syscall ID: 0x185
Function: NtRequestPort, Syscall ID: 0x186
Function: ZwResetEvent, Syscall ID: 0x187
Function: ZwResetWriteWatch, Syscall ID: 0x188
Function: NtRestoreKey, Syscall ID: 0x189
Function: ZwResumeProcess, Syscall ID: 0x18a
Function: ZwRevertContainerImpersonation, Syscall ID: 0x18b
Function: ZwRollbackComplete, Syscall ID: 0x18c
Function: NtRollbackEnlistment, Syscall ID: 0x18d
Function: ZwRollbackRegistryTransaction, Syscall ID: 0x18e
Function: ZwRollbackTransaction, Syscall ID: 0x18f
Function: NtRollforwardTransactionManager, Syscall ID: 0x190
Function: NtSaveKey, Syscall ID: 0x191
Function: NtSaveKeyEx, Syscall ID: 0x192
Function: ZwSaveMergedKeys, Syscall ID: 0x193
Function: NtSecureConnectPort, Syscall ID: 0x194
Function: ZwSerializeBoot, Syscall ID: 0x195
Function: ZwSetBootEntryOrder, Syscall ID: 0x196
Function: NtSetBootOptions, Syscall ID: 0x197
Function: ZwSetCachedSigningLevel, Syscall ID: 0x198
Function: NtSetCachedSigningLevel2, Syscall ID: 0x199
Function: NtSetContextThread, Syscall ID: 0x19a
Function: ZwSetDebugFilterState, Syscall ID: 0x19b
Function: NtSetDefaultHardErrorPort, Syscall ID: 0x19c
Function: NtSetDefaultLocale, Syscall ID: 0x19d
Function: ZwSetDefaultUILanguage, Syscall ID: 0x19e
Function: NtSetDriverEntryOrder, Syscall ID: 0x19f
Function: ZwSetEaFile, Syscall ID: 0x1a0
Function: ZwSetEventEx, Syscall ID: 0x1a1
Function: NtSetHighEventPair, Syscall ID: 0x1a2
Function: ZwSetHighWaitLowEventPair, Syscall ID: 0x1a3
Function: NtSetIRTimer, Syscall ID: 0x1a4
Function: ZwSetInformationCpuPartition, Syscall ID: 0x1a5
Function: NtSetInformationDebugObject, Syscall ID: 0x1a6
Function: NtSetInformationEnlistment, Syscall ID: 0x1a7
Function: NtSetInformationIoRing, Syscall ID: 0x1a8
Function: ZwSetInformationJobObject, Syscall ID: 0x1a9
Function: ZwSetInformationKey, Syscall ID: 0x1aa
Function: NtSetInformationResourceManager, Syscall ID: 0x1ab
Function: NtSetInformationSymbolicLink, Syscall ID: 0x1ac
Function: NtSetInformationToken, Syscall ID: 0x1ad
Function: NtSetInformationTransaction, Syscall ID: 0x1ae
Function: ZwSetInformationTransactionManager, Syscall ID: 0x1af
Function: ZwSetInformationVirtualMemory, Syscall ID: 0x1b0
Function: NtSetInformationWorkerFactory, Syscall ID: 0x1b1
Function: NtSetIntervalProfile, Syscall ID: 0x1b2
Function: ZwSetIoCompletion, Syscall ID: 0x1b3
Function: ZwSetIoCompletionEx, Syscall ID: 0x1b4
Function: ZwSetLdtEntries, Syscall ID: 0x1b5
Function: ZwSetLowEventPair, Syscall ID: 0x1b6
Function: ZwSetLowWaitHighEventPair, Syscall ID: 0x1b7
Function: ZwSetQuotaInformationFile, Syscall ID: 0x1b8
Function: NtSetSecurityObject, Syscall ID: 0x1b9
Function: ZwSetSystemEnvironmentValue, Syscall ID: 0x1ba
Function: ZwSetSystemEnvironmentValueEx, Syscall ID: 0x1bb
Function: ZwSetSystemInformation, Syscall ID: 0x1bc
Function: ZwSetSystemPowerState, Syscall ID: 0x1bd
Function: ZwSetSystemTime, Syscall ID: 0x1be
Function: NtSetThreadExecutionState, Syscall ID: 0x1bf
Function: ZwSetTimer2, Syscall ID: 0x1c0
Function: ZwSetTimerEx, Syscall ID: 0x1c1
Function: NtSetTimerResolution, Syscall ID: 0x1c2
Function: NtSetUuidSeed, Syscall ID: 0x1c3
Function: ZwSetVolumeInformationFile, Syscall ID: 0x1c4
Function: NtSetWnfProcessNotificationEvent, Syscall ID: 0x1c5
Function: ZwShutdownSystem, Syscall ID: 0x1c6
Function: ZwShutdownWorkerFactory, Syscall ID: 0x1c7
Function: ZwSignalAndWaitForSingleObject, Syscall ID: 0x1c8
Function: ZwSinglePhaseReject, Syscall ID: 0x1c9
Function: ZwStartProfile, Syscall ID: 0x1ca
Function: ZwStopProfile, Syscall ID: 0x1cb
Function: ZwSubmitIoRing, Syscall ID: 0x1cc
Function: NtSubscribeWnfStateChange, Syscall ID: 0x1cd
Function: ZwSuspendProcess, Syscall ID: 0x1ce
Function: NtSuspendThread, Syscall ID: 0x1cf
Function: ZwSystemDebugControl, Syscall ID: 0x1d0
Function: NtTerminateEnclave, Syscall ID: 0x1d1
Function: NtTerminateJobObject, Syscall ID: 0x1d2
Function: ZwTestAlert, Syscall ID: 0x1d3
Function: ZwThawRegistry, Syscall ID: 0x1d4
Function: ZwThawTransactions, Syscall ID: 0x1d5
Function: NtTraceControl, Syscall ID: 0x1d6
Function: NtTranslateFilePath, Syscall ID: 0x1d7
Function: ZwUmsThreadYield, Syscall ID: 0x1d8
Function: ZwUnloadDriver, Syscall ID: 0x1d9
Function: NtUnloadKey, Syscall ID: 0x1da
Function: NtUnloadKey2, Syscall ID: 0x1db
Function: ZwUnloadKeyEx, Syscall ID: 0x1dc
Function: ZwUnlockFile, Syscall ID: 0x1dd
Function: ZwUnlockVirtualMemory, Syscall ID: 0x1de
Function: NtUnmapViewOfSectionEx, Syscall ID: 0x1df
Function: NtUnsubscribeWnfStateChange, Syscall ID: 0x1e0
Function: ZwUpdateWnfStateData, Syscall ID: 0x1e1
Function: ZwVdmControl, Syscall ID: 0x1e2
Function: NtWaitForAlertByThreadId, Syscall ID: 0x1e3
Function: ZwWaitForDebugEvent, Syscall ID: 0x1e4
Function: NtWaitForKeyedEvent, Syscall ID: 0x1e5
Function: ZwWaitForWorkViaWorkerFactory, Syscall ID: 0x1e6
